Cycle,SOH_Resistance_%,SOH_Capacity_%,Final_Blended_SOH_%
1,83.79,85.38,84.34
1,83.75,50.69,72.18
1,83.75,50.69,72.18
1,83.75,50.69,72.18
1,100.0,97.04,98.96
2,100.0,87.29,95.55
3,100.0,87.27,95.55
4,100.0,89.12,96.19
5,100.0,89.13,96.2
6,100.0,88.68,96.04
7,100.0,87.23,95.53
8,100.0,87.15,95.5
9,100.0,87.26,95.54
10,100.0,88.53,95.99
11,100.0,100.0,100.0
12,100.0,100.0,100.0
13,100.0,92.77,97.47
14,100.0,87.85,95.75
15,100.0,87.66,95.68
16,100.0,87.39,95.59
17,100.0,88.2,95.87
18,100.0,87.94,95.78
19,100.0,87.33,95.56
20,100.0,87.42,95.6
21,100.0,87.38,95.58
22,100.0,88.15,95.85
23,100.0,87.39,95.59
24,100.0,87.46,95.61
25,100.0,87.37,95.58
26,100.0,87.47,95.62
27,100.0,87.32,95.56
28,100.0,87.29,95.55
29,100.0,88.83,96.09
30,100.0,88.91,96.12
31,100.0,87.36,95.58
32,100.0,88.97,96.14
33,100.0,90.23,96.58
34,100.0,88.27,95.89
35,100.0,87.39,95.59
36,100.0,88.52,95.98
37,100.0,87.42,95.6
38,100.0,88.86,96.1
39,100.0,87.39,95.59
40,100.0,87.36,95.58
41,100.0,87.32,95.56
42,100.0,87.37,95.58
43,100.0,87.45,95.61
44,100.0,87.43,95.6
45,100.0,87.41,95.59
46,100.0,87.37,95.58
47,100.0,87.37,95.58
48,100.0,88.64,96.02
49,100.0,87.44,95.61
50,100.0,90.11,96.54
51,100.0,87.44,95.6
52,100.0,87.42,95.6
149,100.0,100.0,100.0
149,95.29,100.0,96.94
149,100.0,100.0,100.0
1,100.0,97.04,98.96
2,100.0,87.29,95.55
3,100.0,87.27,95.55
4,100.0,89.12,96.19
5,100.0,89.13,96.2
6,100.0,88.68,96.04
7,100.0,87.23,95.53
8,100.0,87.15,95.5
9,100.0,87.26,95.54
10,100.0,88.53,95.99
1,100.0,97.04,98.96
2,100.0,87.29,95.55
3,100.0,87.27,95.55
4,100.0,89.12,96.19
5,100.0,89.13,96.2
1,100.0,97.04,98.96
2,100.0,87.29,95.55
3,100.0,87.27,95.55
4,100.0,89.12,96.19
5,100.0,89.13,96.2
6,100.0,88.68,96.04
7,100.0,87.23,95.53
8,100.0,87.15,95.5
9,100.0,87.26,95.54
10,100.0,88.53,95.99
